symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-10-04 00:00:00+00:00,113.0,114.31,112.63,113.06,29736835,26.5739092765,26.8819784902,26.4868973611,26.5880193168,118947340,0.0,1.0
AAPL,2016-10-05 00:00:00+00:00,113.05,113.66,112.69,113.4,21453089,26.5856676434,26.72911972,26.5010074015,26.667976212,85812356,0.0,1.0
AAPL,2016-10-06 00:00:00+00:00,113.89,114.34,113.13,113.7,28779313,26.7832082079,26.8890335104,26.6044810305,26.7385264136,115117252,0.0,1.0
AAPL,2016-10-07 00:00:00+00:00,114.06,114.56,113.51,114.31,24358443,26.8231866555,26.9407703249,26.6938446192,26.8819784902,97433772,0.0,1.0
AAPL,2016-10-10 00:00:00+00:00,116.05,116.75,114.72,115.02,36235956,27.2911696596,27.4557867967,26.9783970991,27.0489473007,144943824,0.0,1.0
AAPL,2016-10-11 00:00:00+00:00,116.3,118.69,116.2,117.7,64041043,27.3499614943,27.9120114338,27.3264447604,27.6791957685,256164172,0.0,1.0
AAPL,2016-10-12 00:00:00+00:00,117.34,117.98,116.75,117.35,37586787,27.5945355266,27.7450426233,27.4557867967,27.5968871999,150347148,0.0,1.0
AAPL,2016-10-13 00:00:00+00:00,116.98,117.44,115.72,116.79,35192406,27.5098752846,27.6180522604,27.2135644378,27.4651934903,140769624,0.0,1.0
AAPL,2016-10-14 00:00:00+00:00,117.63,118.17,117.13,117.88,35652191,27.6627340548,27.7897244177,27.5451503854,27.7215258895,142608764,0.0,1.0
AAPL,2016-10-17 00:00:00+00:00,117.55,117.84,116.78,117.33,23624896,27.6439206677,27.7121191959,27.4628418169,27.5921838532,94499584,0.0,1.0
AAPL,2016-10-18 00:00:00+00:00,117.47,118.21,117.45,118.18,24553478,27.6251072806,27.7991311112,27.6204039338,27.7920760911,98213912,0.0,1.0
AAPL,2016-10-19 00:00:00+00:00,117.12,117.76,113.8,117.25,20034594,27.542798712,27.6933058088,26.7620431474,27.5733704661,80138376,0.0,1.0
AAPL,2016-10-20 00:00:00+00:00,117.06,117.38,116.33,116.86,24125801,27.5286886717,27.6039422201,27.3570165144,27.481655204,96503204,0.0,1.0
AAPL,2016-10-21 00:00:00+00:00,116.6,116.91,116.28,116.81,23192665,27.4205116959,27.4934135709,27.3452581475,27.469896837,92770660,0.0,1.0
AAPL,2016-10-24 00:00:00+00:00,117.65,117.74,117.0,117.1,23538673,27.6674374016,27.688602462,27.5145786314,27.5380953653,94154692,0.0,1.0
AAPL,2016-10-25 00:00:00+00:00,118.25,118.36,117.31,117.95,48128970,27.8085378048,27.8344062121,27.5874805064,27.7379876032,192515880,0.0,1.0
AAPL,2016-10-26 00:00:00+00:00,115.59,115.7,113.31,114.31,66134219,27.1829926838,27.208861091,26.6468111515,26.8819784902,264536876,0.0,1.0
AAPL,2016-10-27 00:00:00+00:00,114.48,115.86,114.1,115.39,34562045,26.9219569378,27.2464878652,26.8325933491,27.135959216,138248180,0.0,1.0
